*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL     Drain1,   Evap1,   RootUK1
 1990 041    62  234.75    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   4.17   0.00   0.00    0.00      0.00        0.00   -0.07   -4.17    0.00    0.00        0.00   -1.13  -21.64
 1990 042    63  227.26    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   7.42   0.00   0.00    0.00      0.00        0.00   -0.06   -7.42    0.00    0.00        0.00   -1.07  -35.82
 1990 043    64  219.04    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   8.17   0.00   0.00    0.00      0.00        0.00   -0.06   -8.17    0.00    0.00        0.00   -0.97  -25.49
 1990 044    65  210.90    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.04   8.09   0.00   0.00    0.00      0.00        0.00   -0.04   -8.09    0.00    0.00        0.00   -0.70   -9.95
 1990 045    66  207.32    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.03   3.55   0.00   0.00    0.00      0.00        0.00   -0.03   -3.55    0.00    0.00        0.00   -0.46   -0.34
 1990 046    67  206.25    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.04   1.04   0.00   0.00    0.00      0.00        0.00   -0.04   -1.04    0.00    0.00        0.00   -0.57    0.00
 1990 047    68  204.69    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.05   1.51   0.00   0.00    0.00      0.00        0.00   -0.05   -1.51    0.00    0.00        0.00   -0.79    0.00
 1990 048    69  201.37    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   3.27   0.00   0.00    0.00      0.00        0.00   -0.06   -3.27    0.00    0.00        0.00   -0.89    0.00
 1990 049    70  197.45    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   3.85   0.00   0.00    0.00      0.00        0.00   -0.06   -3.85    0.00    0.00        0.00   -0.95    0.00
 1990 050    71  193.66    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   3.73   0.00   0.00    0.00     -0.01        0.00   -0.06   -3.73    0.00    0.00        0.00   -1.02    0.00
