*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1990 084   105   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.030   0.074   0.093   0.035   0.034   0.035   0.057   0.208   0.210
 1990 085   106   171   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.030   0.074   0.093   0.035   0.034   0.035   0.057   0.208   0.210
 1990 086   107   171   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.029   0.074   0.093   0.035   0.034   0.035   0.057   0.208   0.210
 1990 087   108   171   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.029   0.073   0.093   0.035   0.034   0.035   0.057   0.208   0.210
 1990 088   109   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.028   0.073   0.093   0.035   0.034   0.035   0.057   0.208   0.210
 1990 089   110   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.028   0.073   0.092   0.035   0.034   0.035   0.057   0.208   0.210
 1990 090   111   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.028   0.073   0.092   0.035   0.034   0.035   0.057   0.208   0.210
 1990 091   112   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.027   0.072   0.092   0.035   0.034   0.035   0.057   0.208   0.210
 1990 092   113   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.027   0.072   0.092   0.035   0.034   0.035   0.057   0.208   0.210
 1990 093   114   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.027   0.072   0.092   0.035   0.034   0.035   0.057   0.208   0.210
 1990 094   115   170   106      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.027   0.072   0.092   0.035   0.034   0.035   0.057   0.208   0.209
 1990 095   116   170   105      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.026   0.071   0.092   0.035   0.034   0.035   0.057   0.208   0.209
 1990 096   117   170   105      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.026   0.071   0.092   0.035   0.034   0.035   0.057   0.208   0.209
 1990 097   118   199   135      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.284   0.223   0.105   0.035   0.034   0.035   0.057   0.208   0.209
 1990 098   119   195   131      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.224   0.198   0.127   0.034   0.034   0.035   0.056   0.207   0.209
 1990 099   120   190   126      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.189   0.180   0.121   0.034   0.034   0.035   0.054   0.207   0.209
 1990 100   121   186   121      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.152   0.162   0.116   0.034   0.034   0.035   0.052   0.207   0.209
 1990 101   122   182   117      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.118   0.145   0.112   0.034   0.034   0.035   0.050   0.207   0.209
 1990 102   123   178   114      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.093   0.130   0.108   0.034   0.034   0.035   0.048   0.207   0.209
 1990 103   124   177   113      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.085   0.126   0.107   0.034   0.034   0.035   0.048   0.207   0.209
 1990 104   125   177   112      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.080   0.126   0.107   0.034   0.034   0.035   0.048   0.207   0.209
 1990 105   126   176   112      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.075   0.125   0.107   0.034   0.034   0.035   0.048   0.207   0.209
 1990 106   127   176   112      0      0      0     3    90   150    0.00   0.0   0.0   0.00   0.071   0.124   0.107   0.034   0.034   0.035   0.048   0.207   0.209
