*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!               ----------- STATE VARIABLES -----------  --- ADDED ----   --------------- REMOVED TODAY ---------------     DAILY     CUMUL
@YEAR DOY  DAS      NO3     NH4   TUREA  FLOODN  ALGFIX   AFERT  AMINER    RLCH    RNOX    RNUP    RAML    RNRO  RIMMOB      DBAL      CBAL
 1990 083  104  230.930   9.853   0.000   0.000   0.000   0.000   0.266   0.000   0.000   0.737   0.000   0.000   0.143     0.000     0.000
 1990 084  105  231.250   8.939   0.000   0.000   0.000   0.000   0.268   0.000   0.000   0.719   0.000   0.000   0.143     0.000     0.000
 1990 085  106  231.353   8.259   0.000   0.000   0.000   0.000   0.264   0.000   0.000   0.701   0.000   0.000   0.140     0.000     0.000
 1990 086  107  231.313   7.737   0.000   0.000   0.000   0.000   0.257   0.000   0.000   0.683   0.000   0.000   0.136     0.000     0.000
 1990 087  108  231.184   7.317   0.000   0.000   0.000   0.000   0.250   0.000   0.000   0.666   0.000   0.000   0.132     0.000     0.000
 1990 088  109  230.999   6.968   0.000   0.000   0.000   0.000   0.245   0.000   0.000   0.650   0.000   0.000   0.129     0.000     0.000
 1990 089  110  230.765   6.680   0.000   0.000   0.000   0.000   0.234   0.000   0.000   0.633   0.000   0.000   0.122     0.000     0.000
 1990 090  111  230.503   6.432   0.000   0.000   0.000   0.000   0.223   0.000   0.000   0.617   0.000   0.000   0.116     0.000     0.000
 1990 091  112  230.222   6.213   0.000   0.000   0.000   0.000   0.213   0.000   0.000   0.602   0.000   0.000   0.111     0.000     0.000
 1990 092  113  229.928   6.018   0.000   0.000   0.000   0.000   0.203   0.000   0.000   0.587   0.000   0.000   0.105     0.000     0.000
 1990 093  114  229.630   5.838   0.000   0.000   0.000   0.000   0.195   0.000   0.000   0.572   0.000   0.000   0.101     0.000     0.000
 1990 094  115  229.339   5.665   0.000   0.000   0.000   0.000   0.198   0.000   0.000   0.557   0.000   0.000   0.104     0.000     0.000
 1990 095  116  229.058   5.499   0.000   0.000   0.000   0.000   0.206   0.000   0.000   0.543   0.000   0.000   0.109     0.000     0.000
 1990 096  117  228.789   5.340   0.000   0.000   0.000   0.000   0.217   0.000   0.000   0.530   0.000   0.000   0.115     0.000     0.000
 1990 097  118  228.530   5.188   0.000   0.000   0.000   0.000   0.226   0.000   0.000   0.517   0.000   0.000   0.120     0.000     0.000
 1990 098  119  222.595   5.482   0.000   0.000   0.000   0.000   3.000   0.000   0.000   6.000   0.000   0.000   2.641     0.000     0.000
 1990 099  120  220.276   6.632   0.000   0.000   0.000   0.000   4.710   0.000   0.000   2.674   0.000   0.000   3.205     0.000     0.000
 1990 100  121  218.808   6.965   0.000   0.000   0.000   0.000   4.635   0.000   0.000   2.975   0.000   0.000   2.795     0.000     0.000
 1990 101  122  217.582   6.822   0.000   0.000   0.000   0.000   3.831   0.000   0.000   3.107   0.000   0.000   2.094     0.000     0.000
 1990 102  123  216.123   6.475   0.000   0.000   0.000   0.000   2.889   0.000   0.000   3.214   0.000   0.000   1.481     0.000     0.000
 1990 103  124  217.204   6.342   0.000   0.000   0.000   0.000   2.060   0.000   0.000   0.115   0.000   0.000   0.997     0.000     0.000
 1990 104  125  218.336   6.008   0.000   0.000   0.000   0.000   1.670   0.000   0.000   0.000   0.000   0.000   0.873     0.000     0.000
