*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1990 056    77    0.0   11.3   12.2   19.6   39.2   0.11   28.6    9.6   18.5   22.2    9.6   18.5   22.2   86.4  353.7
 1990 057    78    0.0   11.4   12.2   18.9   37.8   0.15   27.2    9.6   17.9   21.3    9.6   17.9   21.3   86.4  353.7
 1990 058    79    0.0   11.4   12.3   18.0   36.0   0.20   27.0   11.0   18.5   21.6   11.0   18.5   21.6   86.4  353.7
 1990 059    80    0.0   11.4   12.3   18.3   36.6   0.19   28.0   11.4   19.2   22.4   11.4   19.2   22.4   86.4  353.7
 1990 060    81    0.0   11.4   12.3   24.1   48.2   0.00   27.4    7.6   16.9   20.8    7.6   16.9   20.8   86.4  353.7
 1990 061    82    0.0   11.5   12.3   24.9   49.8   0.00   28.6    7.6   17.5   21.6    7.6   17.5   21.6   86.4  353.7
 1990 062    83    0.0   11.5   12.4   24.6   49.2   0.00   30.2    9.6   19.3   23.3    9.6   19.3   23.3   86.4  353.7
 1990 063    84    0.0   11.5   12.4   22.1   44.2   0.05   28.0   11.4   19.2   22.5   11.4   19.2   22.5   86.4  353.7
 1990 064    85    0.0   11.5   12.4   19.1   38.2   0.18   25.0   12.6   18.5   20.9   12.6   18.5   20.9   86.4  353.7
 1990 065    86    0.0   11.6   12.4   19.7   39.4   0.16   24.8   11.6   17.8   20.4   11.6   17.8   20.4   86.4  353.7
 1990 066    87    0.0   11.6   12.5   23.8   47.6   0.00   27.2    8.0   17.1   20.9    8.0   17.1   20.9   86.4  353.7
 1990 067    88    0.0   11.6   12.5   25.0   50.0   0.00   27.4    6.2   16.2   20.4    6.2   16.2   20.4   86.4  353.7
 1990 068    89    0.0   11.6   12.5   22.1   44.2   0.08   25.2    8.6   16.5   19.7    8.6   16.5   19.7   86.4  353.7
 1990 069    90    0.0   11.7   12.5   16.1   32.2   0.33   23.0   14.2   18.4   20.1   14.2   18.4   20.1   86.4  353.7
 1990 070    91    0.0   11.7   12.6   21.4   42.8   0.12   23.0    7.4   14.8   17.9    7.4   14.8   17.9   86.4  353.7
 1990 071    92    0.0   11.7   12.6   24.4   48.8   0.00   25.6    5.4   15.0   19.0    5.4   15.0   19.0   86.4  353.7
 1990 072    93    0.0   11.8   12.6   21.4   42.8   0.13   23.2    7.6   15.0   18.1    7.6   15.0   18.1   86.4  353.7
 1990 073    94    0.0   11.8   12.6   23.8   47.6   0.04   22.8    3.6   12.7   16.6    3.6   12.7   16.6   86.4  353.7
 1990 074    95    0.0   11.8   12.7   25.1   50.2   0.00   26.0    4.6   14.8   19.0    4.6   14.8   19.0   86.4  353.8
 1990 075    96    0.0   11.8   12.7   25.7   51.4   0.00   27.0    4.6   15.3   19.7    4.6   15.3   19.7   86.4  353.8
 1990 076    97    0.0   11.9   12.7   26.2   52.4   0.00   29.4    6.0   17.1   21.8    6.0   17.1   21.8   86.4  353.8
