*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                                                                                                             Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                             0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   DAP    DCCD  GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   SHAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   TPSM   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   CDAD   LDAD   SDAD   SNW0C   SNW1C    DTTD   SUMDTT
 1990 019    40    39  28.868     1  1.697    561      0      0    868   1079   1079      0      0  0.000    518      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    518    315.2   0.00   0.00   0.60   0.036   0.035   0.021   0.007   0.004   0.001   0.000   0.000   0.000      0      0      0       0       0  10.700  377.351
 1990 020    41    40  29.303     1  1.785    589      0      0    996   1135   1135      0      0  0.000    546      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    546    314.5   0.00   0.00   0.61   0.039   0.039   0.024   0.008   0.004   0.001   0.000   0.000   0.000      0      0      0       0       0  11.600  386.051
 1990 021    42    41  29.833     1  1.895    624      0      0   1131   1205   1205      0      0  0.000    581      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    581    313.8   0.00   0.00   0.62   0.044   0.043   0.028   0.009   0.005   0.001   0.000   0.000   0.000      0      0      0       0       0  14.100  396.651
 1990 022    43    42  30.343     2  2.070    680     22      0   1153   1338   1338      0      0  0.000    637      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 336.42   0.00      0    637    313.8   0.00   0.00   0.63   0.046   0.049   0.032   0.010   0.006   0.001   0.000   0.000   0.000      0      0      0       0       0  17.100    9.512
 1990 023    44    43  30.990     2  2.235    732     46      0   1174   1467   1467      0      0  0.000    689      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 339.61   0.00      0    689    313.8   0.00   0.00   0.64   0.046   0.050   0.032   0.010   0.006   0.002   0.000   0.000   0.000      0      0      0       0       0  17.900   27.412
 1990 024    45    44  31.689     2  2.412    788     75      0   1198   1609   1609      0      0  0.000    746      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 332.85   0.00      0    746    313.8   0.00   0.00   0.66   0.046   0.051   0.033   0.011   0.006   0.002   0.000   0.000   0.000      0      0      0       0       0  19.367   46.779
 1990 025    46    45  32.417     2  2.589    845    110      0   1223   1756   1756      0      0  0.000    802      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 321.13   0.00      0    802    313.8   0.00   0.00   0.67   0.045   0.052   0.034   0.011   0.006   0.002   0.000   0.000   0.000      0      0      0       0       0  20.141   66.920
 1990 026    47    46  33.027     2  2.792    910    154      0   1254   1931   1931      0      0  0.000    867      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 310.96   0.00      0    867    313.8   0.00   0.00   0.69   0.045   0.053   0.035   0.011   0.006   0.002   0.000   0.000   0.000      0      0      0       0       0  16.909   83.829
 1990 027    48    47  33.658     2  2.989    972    202      0   1285   2104   2104      0      0  0.000    929      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    929    313.8   0.00   0.00   0.70   0.045   0.054   0.036   0.011   0.006   0.002   0.000   0.000   0.000      0      0      0       0       0  17.474  101.303
 1990 028    49    48  34.297     2  3.174   1031    254      0   1317   2276   2276      0      0  0.000    990      0  0.000  0.029  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    990    313.8   0.00   0.00   0.71   0.044   0.054   0.037   0.012   0.007   0.003   0.000   0.000   0.000      0      0      0       0       0  17.690  118.993
 1990 029    50    49  34.922     2  3.340   1084    311      0   1357   2447   2447      0      0  0.000   1051      0  0.000  0.137  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1051    313.8   0.00   0.00   0.72   0.044   0.055   0.037   0.012   0.007   0.003   0.000   0.000   0.000      0      0      0       0       0  17.296  136.288
 1990 030    51    50  35.514     2  3.487   1131    376      0   1406   2621   2621      0      0  0.000   1114      0  0.000  0.247  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1114    313.8   0.00   0.00   0.74   0.043   0.055   0.038   0.013   0.007   0.004   0.000   0.000   0.000      0      0      0       0       0  16.399  152.687
